sep=;
time;model_id;model_name;port_name;data
0;1;Regulator;;{last_price: 50, halt_active: 0, phase: Monitoring}
0;3;ShockEvent;;{sigma: 30, event_occurred: 0}
0;4;MatchingEngine;;{liquidity: 1000, last_trade_price: 50, halted: 0, phase: Running}
0;5;TraderAgent;;{inventory: 0}
1;1;Regulator;;{last_price: 50, halt_active: 0, phase: Monitoring}
1;4;MatchingEngine;market_update_out;50
1;4;MatchingEngine;;{liquidity: 913, last_trade_price: 51.3072, halted: 0, phase: Running}
1;5;TraderAgent;order_out;{buy, 87, 50}
1;5;TraderAgent;;{inventory: 0}
1;1;Regulator;;{last_price: 51.3072, halt_active: 0, phase: Monitoring}
1;4;MatchingEngine;market_update_out;51.3072
1;4;MatchingEngine;;{liquidity: 913, last_trade_price: 51.3072, halted: 0, phase: Running}
1;5;TraderAgent;;{inventory: 0}
2;1;Regulator;;{last_price: 51.3072, halt_active: 0, phase: Monitoring}
2;4;MatchingEngine;market_update_out;51.3072
2;4;MatchingEngine;;{liquidity: 800, last_trade_price: 46.648, halted: 0, phase: Running}
2;5;TraderAgent;order_out;{sell, 113, 50}
2;5;TraderAgent;;{inventory: 0}
2;1;Regulator;;{last_price: 46.648, halt_active: 1, phase: HaltingPeriod}
2;4;MatchingEngine;market_update_out;46.648
2;4;MatchingEngine;;{liquidity: 800, last_trade_price: 46.648, halted: 0, phase: Running}
2;5;TraderAgent;;{inventory: 0}
2;1;Regulator;reg_signal_out;halt
2;1;Regulator;;{last_price: 46.648, halt_active: 1, phase: HaltingPeriod}
2;4;MatchingEngine;;{liquidity: 800, last_trade_price: 46.648, halted: 1, phase: Halted}
2;5;TraderAgent;;{inventory: 0}
3;1;Regulator;;{last_price: 46.648, halt_active: 1, phase: HaltingPeriod}
3;4;MatchingEngine;market_update_out;46.648
3;4;MatchingEngine;;{liquidity: 800, last_trade_price: 46.648, halted: 1, phase: Halted}
3;5;TraderAgent;order_out;{sell, 175, 50}
3;5;TraderAgent;;{inventory: 0}
4;1;Regulator;;{last_price: 46.648, halt_active: 1, phase: HaltingPeriod}
4;4;MatchingEngine;market_update_out;46.648
4;4;MatchingEngine;;{liquidity: 800, last_trade_price: 46.648, halted: 1, phase: Halted}
4;5;TraderAgent;order_out;{buy, 200, 50}
4;5;TraderAgent;;{inventory: 0}
5;1;Regulator;;{last_price: 46.648, halt_active: 1, phase: HaltingPeriod}
